[2025-12-11 17:19:11,778] #INFO     main.py:46 - logger.logger_configuration - запуск основного цикла main
[2025-12-11 17:19:12,136] #INFO     main.py:24 - logger.logger_configuration - Подключение к СУБД Postgrsql
[2025-12-11 17:19:12,136] #INFO     models.py:69 - logger.logger_configuration - Запусе дивжка для СУБД postgre
[2025-12-11 17:19:12,192] #INFO     main.py:27 - logger.logger_configuration - Подключение успешно
[2025-12-11 17:19:12,192] #INFO     dispatcher.py:566 - aiogram.dispatcher - Start polling
[2025-12-11 17:19:12,242] #INFO     dispatcher.py:363 - aiogram.dispatcher - Run polling for bot @ai_api_true_bot id=8200656199 - 'AI_BOT'
[2025-12-11 17:19:44,996] #INFO     user_requests.py:31 - logger.logger_configuration - Юзер с tg_id 778151623 успешно найдет
[2025-12-11 17:19:45,262] #INFO     dispatcher.py:172 - aiogram.event - Update id=230191583 is handled. Duration 2312 ms by bot id=8200656199
[2025-12-11 17:19:46,838] #INFO     models_requests.py:117 - logger.logger_configuration - строка с именем openai/gpt-4o-mini имеется в БД
[2025-12-11 17:19:46,839] #CRITICAL user_handlers.py:73 - logger.logger_configuration - модель для текста openai/gpt-4o-mini : text
[2025-12-11 17:19:46,918] #INFO     dispatcher.py:172 - aiogram.event - Update id=230191584 is handled. Duration 92 ms by bot id=8200656199
[2025-12-11 17:20:09,598] #INFO     _client.py:1740 - httpx - HTTP Request: POST https://api.vsegpt.ru/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-11 17:20:09,604] #WARNING  user_requests.py:53 - logger.logger_configuration - Модель openai/gpt-4o-mini, затраченные токены 177
[2025-12-11 17:20:09,608] #WARNING  user_requests.py:56 - logger.logger_configuration - текущий баланс : 9732.961,количество потраченных токенов 177, цена одного токена0.0003
[2025-12-11 17:20:10,926] #INFO     dispatcher.py:172 - aiogram.event - Update id=230191585 is handled. Duration 3592 ms by bot id=8200656199
[2025-12-11 17:20:25,571] #INFO     _client.py:1740 - httpx - HTTP Request: POST https://api.vsegpt.ru/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-11 17:20:25,572] #WARNING  user_requests.py:53 - logger.logger_configuration - Модель openai/gpt-4o-mini, затраченные токены 372
[2025-12-11 17:20:25,575] #WARNING  user_requests.py:56 - logger.logger_configuration - текущий баланс : 9732.855,количество потраченных токенов 372, цена одного токена0.0003
[2025-12-11 17:20:26,776] #INFO     dispatcher.py:172 - aiogram.event - Update id=230191586 is handled. Duration 3655 ms by bot id=8200656199
[2025-12-11 17:20:35,751] #INFO     dispatcher.py:594 - aiogram.dispatcher - Polling stopped
[2025-12-11 17:20:35,751] #ERROR    dispatcher.py:219 - aiogram.dispatcher - Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
[2025-12-11 17:20:35,752] #WARNING  dispatcher.py:221 - aiogram.dispatcher - Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8200656199)
[2025-12-11 17:20:36,013] #INFO     dispatcher.py:395 - aiogram.dispatcher - Polling stopped for bot @ai_api_true_bot id=8200656199 - 'AI_BOT'
[2025-12-11 17:20:36,015] #WARNING  main.py:50 - logger.logger_configuration - Работа бота была остановлена через скрипт и ctrl + C
